Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité en ml),Inventaire (cents),Inventaire ($)
300699,Molson Canadian,Beer,Lager,"Canada, Ontario",2838,13.5,53212,151015656,71836200,"718 362,00 $"
300681,Coors Light,Beer,Lager,"Canada, Ontario",2838,13.5,51062,144913956,68933700,"689 337,00 $"
311787,Budweiser,Beer,Lager,"Canada, Ontario",2838,13.75,49805,141346590,64995525,"649 955,25 $"
696161,Busch,Beer,Lager,"Canada, Ontario",2838,11.95,37987,107807106,43115245,"431 152,45 $"
696468,Labatt Blue,Beer,Lager,"Canada, Ontario",473,2.0,213308,100894684,42661600,"426 616,00 $"
586610,Old Milwaukee,Beer,Lager,"Canada, Ontario",2838,11.5,29691,84263058,34144650,"341 446,50 $"
186510,Corona Extra,Beer,Lager,"Mexico, Region Not Specified",1980,13.75,41001,81181980,56376375,"563 763,75 $"
311779,Bud Light,Beer,Lager,"Canada, Ontario",2838,13.5,25820,73277160,34857000,"348 570,00 $"
586677,Old Milwaukee Ice,Beer,Lager,"Canada, Ontario",2838,11.5,22856,64865328,26284400,"262 844,00 $"
18,Heineken,Beer,Lager,"Netherlands, Region Not Specified",1980,13.75,31646,62659080,43513250,"435 132,50 $"
254946,Dab Original,Beer,Lager,"Germany, Region Not Specified",500,2.0,115619,57809500,23123800,"231 238,00 $"
905976,Budweiser,Beer,Lager,"Canada, Ontario",473,2.4,113701,53780573,27288240,"272 882,40 $"
321794,Smirnoff Ice,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",7920,53.95,6602,52287840,32316790,"323 167,90 $"
38265,Carling Lager,Beer,Lager,"Canada, Ontario",473,2.0,109264,51681872,21852800,"218 528,00 $"
302810,Heineken,Beer,Lager,"Netherlands, Region Not Specified",3000,15.0,17120,51360000,25680000,"256 800,00 $"
904409,Molson Canadian,Beer,Lager,"Canada, Ontario",473,2.4,108543,51340839,26050320,"260 503,20 $"
560532,Strongbow Cider,Ciders,Cider,"United Kingdom, Region Not Specified",500,3.0,102388,51194000,30716400,"307 164,00 $"
906669,Coors Light,Beer,Lager,"Canada, Ontario",473,2.4,107263,50735399,25743120,"257 431,20 $"
279307,Somersby Apple Cider,Ciders,Cider,"Denmark, Region Not Specified",500,3.05,93213,46606500,28429965,"284 299,65 $"
211227,Palm Bay Ruby Grapefruit Sunrise Spritz,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",2130,11.95,21522,45841860,23566590,"235 665,90 $"
142620,Laker Ice,Beer,Lager,"Canada, Ontario",473,1.9,96886,45827078,18408340,"184 083,40 $"
321786,Smirnoff Ice,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,34485,45520200,34278090,"342 780,90 $"
225904,Palm Bay Key Lime Cherry 6 Pk-C,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",2130,11.95,21295,45358350,25447525,"254 475,25 $"
331348,Somersby Blackberry Cider,Ciders,Cider,"Denmark, Region Not Specified",500,3.05,87140,43570000,26577700,"265 777,00 $"
535294,Grolsch Premium Lager,Beer,Lager,"Netherlands, Region Not Specified",500,2.29,86125,43062500,19722625,"197 226,25 $"
693093,Miller Genuine Draft,Beer,Lager,"USA, Wisconsin",2130,12.5,19969,42533970,24961250,"249 612,50 $"
