Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité),Inventaire (valeur)
300699,Molson Canadian,Beer,Lager,"Canada, Ontario",2838,13.5,53212,151015656,"71 836 200,00 $"
300681,Coors Light,Beer,Lager,"Canada, Ontario",2838,13.5,51062,144913956,"68 933 700,00 $"
311787,Budweiser,Beer,Lager,"Canada, Ontario",2838,13.75,49805,141346590,"64 995 525,00 $"
696161,Busch,Beer,Lager,"Canada, Ontario",2838,11.95,37987,107807106,"43 115 245,00 $"
696468,Labatt Blue,Beer,Lager,"Canada, Ontario",473,2.0,213308,100894684,"42 661 600,00 $"
586610,Old Milwaukee,Beer,Lager,"Canada, Ontario",2838,11.5,29691,84263058,"34 144 650,00 $"
186510,Corona Extra,Beer,Lager,"Mexico, Region Not Specified",1980,13.75,41001,81181980,"56 376 375,00 $"
311779,Bud Light,Beer,Lager,"Canada, Ontario",2838,13.5,25820,73277160,"34 857 000,00 $"
586677,Old Milwaukee Ice,Beer,Lager,"Canada, Ontario",2838,11.5,22856,64865328,"26 284 400,00 $"
18,Heineken,Beer,Lager,"Netherlands, Region Not Specified",1980,13.75,31646,62659080,"43 513 250,00 $"
254946,Dab Original,Beer,Lager,"Germany, Region Not Specified",500,2.0,115619,57809500,"23 123 800,00 $"
905976,Budweiser,Beer,Lager,"Canada, Ontario",473,2.4,113701,53780573,"27 288 240,00 $"
321794,Smirnoff Ice,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",7920,53.95,6602,52287840,"32 316 790,00 $"
38265,Carling Lager,Beer,Lager,"Canada, Ontario",473,2.0,109264,51681872,"21 852 800,00 $"
302810,Heineken,Beer,Lager,"Netherlands, Region Not Specified",3000,15.0,17120,51360000,"25 680 000,00 $"
904409,Molson Canadian,Beer,Lager,"Canada, Ontario",473,2.4,108543,51340839,"26 050 320,00 $"
560532,Strongbow Cider,Ciders,Cider,"United Kingdom, Region Not Specified",500,3.0,102388,51194000,"30 716 400,00 $"
906669,Coors Light,Beer,Lager,"Canada, Ontario",473,2.4,107263,50735399,"25 743 120,00 $"
279307,Somersby Apple Cider,Ciders,Cider,"Denmark, Region Not Specified",500,3.05,93213,46606500,"28 429 965,00 $"
211227,Palm Bay Ruby Grapefruit Sunrise Spritz,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",2130,11.95,21522,45841860,"23 566 590,00 $"
142620,Laker Ice,Beer,Lager,"Canada, Ontario",473,1.9,96886,45827078,"18 408 340,00 $"
321786,Smirnoff Ice,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,34485,45520200,"34 278 090,00 $"
225904,Palm Bay Key Lime Cherry 6 Pk-C,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",2130,11.95,21295,45358350,"25 447 525,00 $"
331348,Somersby Blackberry Cider,Ciders,Cider,"Denmark, Region Not Specified",500,3.05,87140,43570000,"26 577 700,00 $"
535294,Grolsch Premium Lager,Beer,Lager,"Netherlands, Region Not Specified",500,2.29,86125,43062500,"19 722 625,00 $"
693093,Miller Genuine Draft,Beer,Lager,"USA, Wisconsin",2130,12.5,19969,42533970,"24 961 250,00 $"
337949,Heineken,Beer,Lager,"Netherlands, Region Not Specified",500,2.7,84464,42232000,"22 805 280,00 $"
906560,Coors Light,Beer,Lager,"Canada, Ontario",2046,11.75,20440,41820240,"24 017 000,00 $"
900480,Labatt Blue,Beer,Lager,"Canada, Ontario",8184,32.95,5044,41280096,"16 619 980,00 $"
695635,Carling,Beer,Lager,"Canada, Ontario",8184,32.95,5044,41280096,"16 619 980,00 $"
906586,Coors Light,Beer,Lager,"Canada, Ontario",8184,34.95,4937,40404408,"17 254 815,00 $"
487256,Stella Artois,Beer,Lager,"Belgium, Region Not Specified",1980,13.75,20391,40374180,"25 998 525,00 $"
906644,Coors Light,Beer,Lager,"Canada, Ontario",8520,43.95,4724,40248480,"20 761 980,00 $"
367938,Stella Artois,Beer,Lager,"Belgium, Region Not Specified",3000,15.0,13280,39840000,"19 920 000,00 $"
397638,Lowenbrau Original,Beer,Lager,"Canada, Ontario",473,2.0,78684,37217532,"15 736 800,00 $"
334052,Stiegl Grapefruit Radler,Beer,Lager,"Austria, Region Not Specified",500,2.7,74242,37121000,"20 045 340,00 $"
211235,Palm Bay Strawberry-Pineapple,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",2130,11.95,17251,36744630,"20 614 945,00 $"
487264,Stella Artois,Beer,Lager,"Belgium, Region Not Specified",500,2.7,72009,36004500,"19 442 430,00 $"
406819,Palm Bay Dragonfruit Watermelon Breeze,Ready-to-Drink/Coolers,Coolers,"Canada, Ontario",2130,11.95,16891,35977830,"20 184 745,00 $"
900779,Molson Canadian,Beer,Lager,"Canada, Ontario",8184,34.95,4392,35944128,"15 350 040,00 $"
321760,Smirnoff Ice,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1000,6.95,34786,34786000,"24 176 270,00 $"
211219,Palm Bay Pineapple-Mandarin-Orange Spritz,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",2130,11.95,16318,34757340,"19 500 010,00 $"
140509,James Ready 5.5.,Beer,Lager,"Canada, New Brunswick",2838,11.95,11855,33644490,"14 166 725,00 $"
698993,Molson Canadian Cold Shots 6.0.,Beer,Lager,"Canada, Ontario",1000,5.5,33527,33527000,"18 439 850,00 $"
907147,Alexander Keith's India Pale Ale,Beer,Ale,"Canada, Nova Scotia",473,2.45,70093,33153989,"17 172 785,00 $"
569418,Mott's Clamato Caesar Original,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1420,10.75,23176,32909920,"24 914 200,00 $"
