Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Diff. %,Volume SAQ,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,image SAQ,image LCBO
Bacardi Superior,Bacardi Superior,32.25,38,-5.75,-0.15,"1,14 L",1140,1140,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/216838/images/full.jpeg
Canadian Club Premium,Canadian Club Premium,35.75,38,-2.25,-0.06,"1,14 L",1140,1140,Whisky canadien,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11495424-1,https://dx5vpyka4lqst.cloudfront.net/products/217687/images/full.jpeg
Cinzano,Cinzano Rosso Sweet Vermouth,11.0,12,-1.0,-0.08,1 L,1000,1000,Vermouth rouge,Specialty Wines,http://s7d9.scene7.com/is/image/SAQ/11408642-1,https://dx5vpyka4lqst.cloudfront.net/products/215251/images/full.jpeg
Citra Montepulciano d'Abruzzo,Citra Montepulciano D'Abruzzo,10.8,12,-1.2,-0.1,1 L,1000,1500,Vin rouge,Red Wine,http://s7d9.scene7.com/is/image/SAQ/103861-1,https://dx5vpyka4lqst.cloudfront.net/products/78840/images/full.jpeg
Citra Montepulciano d'Abruzzo,Citra Montepulciano D'Abruzzo DOC,10.8,7,3.8,0.54,1 L,1000,750,Vin rouge,Red Wine,http://s7d9.scene7.com/is/image/SAQ/103861-1,https://dx5vpyka4lqst.cloudfront.net/products/446633/images/full.jpeg
Absolut,Absolut Vodka,37.25,39,-1.75,-0.04,"1,14 L",1140,1140,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/209221/images/full.jpeg
Absolut,Absolut Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/110056/images/full.jpeg
Absolut,Absolut Vodka,37.25,58,-20.75,-0.36,"1,14 L",1140,1750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/216655/images/full.jpeg
Absolut,Absolut Apeach Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/604348/images/full.jpeg
Absolut,Absolut Vodka,37.25,14,23.25,1.66,"1,14 L",1140,375,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/265199/images/full.jpeg
Absolut,Absolut Raspberri Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/602763/images/full.jpeg
Absolut,Absolut Citron Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/257238/images/full.jpeg
Absolut,Absolut Raspberri Vodka,37.25,14,23.25,1.66,"1,14 L",1140,375,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/242347/images/full.jpeg
Absolut,Absolut Vodka,37.25,8,29.25,3.66,"1,14 L",1140,200,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/351023/images/full.jpeg
Absolut,Absolut Mandrin Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/550749/images/full.jpeg
Absolut,Absolut Warhol Limited Edition Bottle,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/387068/images/full.jpeg
Absolut,Absolut Vanilia Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/282178/images/full.jpeg
Absolut,Absolut Berri Acai Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/157974/images/full.jpeg
Absolut,Absolut Cherrykran Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/320218/images/full.jpeg
Absolut,Absolut Elyx Vodka,37.25,48,-10.75,-0.22,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/359471/images/full.jpeg
Absolut,Absolut Citron Vodka,37.25,14,23.25,1.66,"1,14 L",1140,375,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/316117/images/full.jpeg
Absolut,Absolut Hibiskus Vodka,37.25,26,11.25,0.43,"1,14 L",1140,750,Vodka,Vodka,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/363010/images/full.jpeg
Absolut,Absolut Five Flavour Gift Pack,37.25,17,20.25,1.19,"1,14 L",1140,250,Vodka,Gift and Sampler Packs,http://s7d9.scene7.com/is/image/SAQ/11401133-1,https://dx5vpyka4lqst.cloudfront.net/products/49262/images/full.jpeg
Amarula,Amarula Cream,38.75,27,11.75,0.44,"1,14 L",1140,750,Boisson à la crème (marula),Liqueur/Liquor,http://s7d9.scene7.com/is/image/SAQ/574582-1,https://dx5vpyka4lqst.cloudfront.net/products/342246/images/full.jpeg
Amarula,Amarula Cream,38.75,37,1.75,0.05,"1,14 L",1140,1140,Boisson à la crème (marula),Liqueur/Liquor,http://s7d9.scene7.com/is/image/SAQ/574582-1,https://dx5vpyka4lqst.cloudfront.net/products/605857/images/full.jpeg
Amarula,Amarula Cream,38.75,15,23.75,1.58,"1,14 L",1140,375,Boisson à la crème (marula),Liqueur/Liquor,http://s7d9.scene7.com/is/image/SAQ/574582-1,https://dx5vpyka4lqst.cloudfront.net/products/210740/images/full.jpeg
