Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Diff,Diff. %,Volume SAQ,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
14 Hands Hot to Trot Red Blend 2012,14 Hands Hot to Trot Red Blend,"17,35",15,"2,35","15,7%",750 ml,750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12245611-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/226522/images/full.jpeg
1800 Silver,1800 Select Silver Tequila,"39,5",23,"16,5","71,7%",750 ml,750,750,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11870407-1?&scl=1,
1800 Silver,1800 Silver Tequila,"39,5",36,"3,5","9,7%",750 ml,750,750,Téquila,Tequila,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11870407-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/227678/images/full.jpeg
6th Sense Syrah 2012,Michael David 6Th Sense Syrah 2012,"24,25",24,"0,25","1,0%",750 ml,750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11409371-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/394395/images/full.jpeg
A to Z Chardonnay 2013,A to Z Chardonnay 2013,"23,95",20,"3,95","19,8%",750 ml,750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11399678-1?&scl=1,
A to Z Pinot Noir 2012,A to Z Wineworks Pinot Noir 2012,"28,9",24,"4,9","20,4%",750 ml,750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11334073-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/229781/images/full.jpeg
Aberfeldy 12,Aberfeldy 12 Year Old,50,59,-9,"-15,3%",750 ml,750,750,Whisky écossais,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12206461-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/255281/images/full.jpeg
Absolut,Absolut Vodka,"14,25",14,"0,25","1,8%",375 ml,375,375,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00265199-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/265199/images/full.jpeg
Absolut,Absolut Vodka,25,26,-1,"-3,8%",750 ml,750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00110056-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/110056/images/full.jpeg
Absolut,Absolut Vodka,"37,25",39,"-1,75","-4,5%","1,14 L",1140,1140,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11401133-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/209221/images/full.jpeg
Absolut,Absolut Vodka,"53,75",58,"-4,25","-7,3%","1,75 L",1750,1750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00183251-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/216655/images/full.jpeg
Absolut Apeach Vodka,Absolut Apeach Vodka,"26,3",26,"0,3","1,2%",750 ml,750,750,Vodka aromatisée (pêche),Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12206604-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/604348/images/full.jpeg
Absolut Citron,Absolut Citron Vodka,"26,3",26,"0,3","1,2%",750 ml,750,750,Vodka aromatisée (citron),Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00257238-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/257238/images/full.jpeg
Absolut Five,Absolut Five Flavour Gift Pack,"17,6",17,"0,6","3,5%",250 ml,250,250,Vodka aromatisée,Gift and Sampler Packs,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10886132-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/49262/images/full.jpeg
Absolut Hibiskus,Absolut Hibiskus Vodka,"26,25",26,"0,25","1,0%",750 ml,750,750,Vodka aromatisée (pomme gren...,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12211251-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/363010/images/full.jpeg
