No,Nom,Année,URL,URL-image,Type,Pays,Volume,Prix txt,Prix
1,,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/m-montepulciano-dabruzzo/518712,http://s7d9.scene7.com/is/image/SAQ/518712-1,Vin rouge,Italie,1 L,"10,85 $",10.85
2,14 Hands Hot to Trot Red Blend 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/14-hands-hot-to-trot-red-blend-2012/12245611,http://s7d9.scene7.com/is/image/SAQ/12245611-1,Vin rouge,États-Unis,750 ml,"17,35 $",17.35
3,1800 Silver,Inconnue,http://www.saq.com/page/fr/saqcom/tequila/1800-silver/11870407,http://s7d9.scene7.com/is/image/SAQ/11870407-1,Téquila,Mexique,750 ml,"39,50 $",39.5
4,19 Crimes,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/19-crimes/12073995,http://s7d9.scene7.com/is/image/SAQ/12073995-1,Vin rouge,Australie,750 ml,"20,00 $",20.0
5,20 Bees Vidal 2013,2013,http://www.saq.com/page/fr/saqcom/vin-de-glace/20-bees-vidal-2013/11156975,http://s7d9.scene7.com/is/image/SAQ/11156975-1,Vin de glace,Canada,375 ml,"29,80 $",29.8
6,7 Deadly Zins 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/7-deadly-zins-2012/11383473,http://s7d9.scene7.com/is/image/SAQ/11383473-1,Vin rouge,États-Unis,750 ml,"24,20 $",24.2
7,A Mandria di Signadore Patrimonio 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/a-mandria-di-signadore-patrimonio-2013/11908161,http://s7d9.scene7.com/is/image/SAQ/11908161-1,Vin rouge,France,750 ml,"32,25 $",32.25
8,A to Z Pinot Gris 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/a-to-z-pinot-gris-2013/11334057,http://s7d9.scene7.com/is/image/SAQ/11334057-1,Vin blanc,États-Unis,750 ml,"22,75 $",22.75
9,A to Z Pinot Noir 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/a-to-z-pinot-noir-2012/11334073,http://s7d9.scene7.com/is/image/SAQ/11334073-1,Vin rouge,États-Unis,750 ml,"28,90 $",28.9
10,"A.de Luze, Fleur",Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/ade-luze-fleur/12206971,http://s7d9.scene7.com/is/image/SAQ/12206971-1,Vin blanc,France,750 ml,"14,80 $",14.8
